Date,Year,Month,Turnover_Total_M€,YoY_Growth_%,Crescimento_Total_vs_prev_year_%,Crescimento_Excl_Druni_%,Crescimento_LFL_%,Receita_Alimentar_M€,Receita_HWB_M€,Receita_Internacional_M€,Receita_Online_HWB_pct,Receita_Online_Druni_pct,EBITDA_Total_M€,EBITDA_Margin_pct,EBITDA_Sem_Druni_M€,Lucro_Liquido_M€,CAPEX_Total_M€,CAPEX_Operacional_M€,CAPEX_Aquisicoes_M€,Divida_Total_M€,Num_Lojas_Totais,Num_Lojas_Proprias,Num_Lojas_Franqueadas,Novas_Lojas_Proprias_Ano,Novas_HWB_Ano,Remodelacoes_Ano,Num_Colaboradores,Doacoes_M€
2025-01-01,2025,Jan,695.50,15.5,12.1,11.5,4.8,460.20,138.10,97.20,11.50,12.10,65.40,9.4,59.20,16.50,50.10,28.50,21.60,2230.10,2250,1900,350,2,2,5,44100,0.13
2025-02-01,2025,Feb,702.10,15.8,12.3,11.7,4.9,465.50,139.50,97.10,11.60,12.20,66.80,9.5,60.10,16.90,51.20,29.10,22.10,2225.50,2252,1902,350,4,4,3,44150,0.13
2025-03-01,2025,Mar,715.30,16.2,12.8,12.1,5.1,472.10,142.20,101.00,11.80,12.50,68.50,9.6,61.50,17.40,52.50,30.20,22.30,2220.00,2255,1905,350,7,7,4,44220,0.14
2025-04-01,2025,Apr,710.80,16.0,12.5,11.9,5.0,470.50,140.80,99.50,11.70,12.40,67.20,9.5,60.80,17.10,51.80,29.80,22.00,2215.20,2258,1908,350,10,10,6,44280,0.14
2025-05-01,2025,May,722.40,16.5,13.0,12.4,5.2,478.20,143.50,100.70,12.10,12.80,69.80,9.7,62.90,18.00,53.00,31.00,22.00,2210.50,2260,1910,350,12,12,8,44350,0.15
2025-06-01,2025,Jun,730.10,17.0,13.5,12.8,5.4,485.60,144.00,100.50,12.30,13.10,71.50,9.8,64.20,18.80,54.20,32.10,22.10,2205.10,2265,1915,350,17,17,10,44410,0.15
2025-07-01,2025,Jul,735.50,17.2,13.8,13.1,5.5,490.10,145.20,100.20,12.50,13.50,72.80,9.9,65.50,19.20,55.10,33.00,22.10,2200.00,2268,1918,350,20,20,12,44500,0.16
2025-08-01,2025,Aug,740.20,17.5,14.0,13.3,5.6,492.50,146.80,100.90,12.60,13.80,74.10,10.0,66.80,19.80,56.50,34.20,22.30,2195.50,2270,1920,350,22,22,14,44580,0.16
2025-09-01,2025,Sep,728.80,16.8,13.2,12.6,5.3,480.40,147.50,100.90,12.20,13.20,70.50,9.7,63.50,18.50,53.80,31.50,22.30,2190.20,2275,1925,350,27,27,15,44650,0.15
2025-10-01,2025,Oct,745.60,17.8,14.5,13.7,5.8,495.20,149.10,101.30,12.80,14.00,75.20,10.1,68.10,20.50,57.20,35.10,22.10,2185.00,2280,1930,350,32,32,18,44720,0.17
2025-11-01,2025,Nov,760.30,18.2,15.1,14.2,6.1,505.50,152.30,102.50,13.20,14.50,78.50,10.3,71.20,21.80,59.50,37.20,22.30,2180.50,2285,1935,350,37,37,20,44850,0.18
2025-12-01,2025,Dec,810.50,20.5,18.0,16.5,7.2,545.20,160.80,104.50,14.50,15.80,88.20,10.9,79.50,25.50,65.10,40.50,24.60,2175.00,2290,1940,350,42,42,24,45000,0.20
