Date,Year,Month,Turnover_Total_M€,YoY_Growth_%,Crescimento_Total_vs_prev_year_%,Crescimento_Excl_Druni_%,Crescimento_LFL_%,Receita_Alimentar_M€,Receita_HWB_M€,Receita_Internacional_M€,Receita_Online_HWB_pct,Receita_Online_Druni_pct,EBITDA_Total_M€,EBITDA_Margin_pct,EBITDA_Sem_Druni_M€,Lucro_Liquido_M€,CAPEX_Total_M€,CAPEX_Operacional_M€,CAPEX_Aquisicoes_M€,Divida_Total_M€,Num_Lojas_Totais,Num_Lojas_Proprias,Num_Lojas_Franqueadas,Novas_Lojas_Proprias_Ano,Novas_HWB_Ano,Remodelacoes_Ano,Num_Colaboradores,Doacoes_M€
2025-01-01,2025,Jan,710.00,16.0,12.5,12.0,5.0,465.00,140.00,105.00,12.00,12.50,68.00,9.6,60.00,17.00,50.00,30.00,20.00,2200.00,2250,1900,350,2,2,5,44100,0.15
2025-02-01,2025,Feb,715.00,16.5,13.0,12.2,5.2,470.00,142.00,103.00,12.20,12.80,69.50,9.7,61.00,17.50,52.00,30.00,22.00,2195.00,2252,1902,350,4,4,3,44150,0.15
2025-03-01,2025,Mar,725.00,17.0,13.5,12.5,5.5,475.00,145.00,105.00,12.50,13.00,71.00,9.8,63.00,18.00,53.00,31.00,22.00,2190.00,2255,1905,350,7,7,4,44220,0.15
2025-04-01,2025,Apr,720.00,16.8,13.2,12.4,5.3,472.00,143.00,105.00,12.30,12.90,70.00,9.7,62.00,17.80,52.00,30.00,22.00,2185.00,2258,1908,350,10,10,6,44280,0.15
2025-05-01,2025,May,735.00,17.5,14.0,13.0,5.6,480.00,146.00,109.00,12.80,13.50,72.50,9.9,64.00,18.50,54.00,32.00,22.00,2180.00,2260,1910,350,12,12,8,44350,0.16
2025-06-01,2025,Jun,745.00,18.0,14.5,13.5,5.8,490.00,148.00,107.00,13.00,14.00,74.00,10.0,66.00,19.50,55.00,33.00,22.00,2175.00,2265,1915,350,17,17,10,44410,0.16
2025-07-01,2025,Jul,750.00,18.5,15.0,14.0,6.0,495.00,150.00,105.00,13.20,14.20,75.50,10.1,67.00,20.00,56.00,34.00,22.00,2170.00,2268,1918,350,20,20,12,44500,0.17
2025-08-01,2025,Aug,755.00,18.8,15.2,14.2,6.1,498.00,151.00,106.00,13.50,14.50,76.50,10.2,68.00,20.50,57.00,35.00,22.00,2165.00,2270,1920,350,22,22,14,44580,0.17
2025-09-01,2025,Sep,740.00,17.8,14.2,13.2,5.7,485.00,150.00,105.00,13.00,14.00,73.00,9.9,65.00,19.00,54.00,32.00,22.00,2160.00,2275,1925,350,27,27,15,44650,0.16
2025-10-01,2025,Oct,760.00,19.0,15.5,14.5,6.2,500.00,153.00,107.00,13.80,14.80,78.00,10.3,70.00,21.50,58.00,36.00,22.00,2155.00,2280,1930,350,32,32,18,44720,0.18
2025-11-01,2025,Nov,775.00,19.5,16.0,15.0,6.5,510.00,155.00,110.00,14.00,15.00,80.00,10.5,72.00,22.50,60.00,38.00,22.00,2150.00,2285,1935,350,37,37,20,44850,0.19
2025-12-01,2025,Dec,830.00,22.0,19.5,17.5,7.8,555.00,165.00,110.00,15.00,16.50,92.00,11.1,82.00,27.00,66.00,41.00,25.00,2140.00,2290,1940,350,42,42,24,45000,0.22
